Date,Close
07/30/1979,304.65
07/31/1979,295.35
08/01/1979,290.95
08/02/1979,292.85
08/03/1979,288.5
08/06/1979,287
08/07/1979,282.5
08/08/1979,287.1
08/09/1979,292.75
08/10/1979,302.8
08/13/1979,304.1
08/14/1979,293
08/15/1979,300.25
08/16/1979,296.5
08/17/1979,298.7
08/20/1979,299.1
08/21/1979,298.9
08/22/1979,311.5
08/23/1979,309.6
08/24/1979,314.7
08/28/1979,316.2
08/29/1979,314.05
08/30/1979,318.65
08/31/1979,317.75
09/03/1979,319.3
09/04/1979,323.9
09/05/1979,329.25
09/06/1979,340.85
09/07/1979,331.15
09/10/1979,336.4
09/11/1979,338.65
09/12/1979,336.95
09/13/1979,334.35
09/14/1979,345.75
09/17/1979,350.75
09/18/1979,371.35
09/19/1979,376
09/20/1979,375.35
09/21/1979,373
09/24/1979,377
09/25/1979,375.9
09/26/1979,370.8
09/27/1979,386.25
09/28/1979,397
10/01/1979,399.5
10/02/1979,437
10/03/1979,418.5
10/04/1979,394.5
10/05/1979,367.5
10/08/1979,376.75
10/09/1979,377
10/10/1979,409.25
10/11/1979,400
10/12/1979,387.75
10/15/1979,400.2
10/16/1979,398.6
10/17/1979,386.4
10/18/1979,382
10/19/1979,388.75
10/22/1979,395.5
10/23/1979,387.6
10/24/1979,389
10/25/1979,391.2
10/26/1979,374.8
10/29/1979,374.5
10/30/1979,376
10/31/1979,379.75
11/01/1979,379.7
11/02/1979,373
11/05/1979,378
11/06/1979,382.8
11/07/1979,392.5
11/08/1979,392.5
11/09/1979,389.75
11/12/1979,393
11/13/1979,388
11/14/1979,389.25
11/15/1979,387.5
11/16/1979,386.75
11/19/1979,390
11/20/1979,389
11/21/1979,396.8
11/22/1979,394.85
11/23/1979,390.15
11/26/1979,393
11/27/1979,393.4
11/28/1979,405.35
11/29/1979,410.9
11/30/1979,417.2
12/03/1979,428
12/04/1979,435
12/05/1979,427.25
12/06/1979,434.5
12/07/1979,428.9
12/10/1979,431.35
12/11/1979,442.75
12/12/1979,449.75
12/13/1979,458.75
12/14/1979,459.5
12/17/1979,460.6
12/18/1979,473.5
12/19/1979,494
12/20/1979,477.25
12/21/1979,474.9
12/24/1979,485.9
12/27/1979,508.75
12/28/1979,515
12/31/1979,524
01/02/1980,559
01/03/1980,632
01/04/1980,596
01/07/1980,634
01/08/1980,615.75
01/09/1980,599.25
01/10/1980,608.25
01/11/1980,610
01/14/1980,647.75
01/15/1980,682
01/16/1980,765
01/17/1980,728.25
01/18/1980,825.5
01/21/1980,843
01/22/1980,763
01/23/1980,650
01/24/1980,712
01/25/1980,691.5
01/28/1980,629
01/29/1980,678
01/30/1980,703.5
01/31/1980,668
02/01/1980,675
02/04/1980,672
02/05/1980,661.25
02/06/1980,696
02/07/1980,704
02/08/1980,688.5
02/11/1980,714.5
02/12/1980,703.75
02/13/1980,695.5
02/14/1980,688
02/15/1980,674.5
02/18/1980,665.25
02/19/1980,661.75
02/20/1980,625
02/21/1980,646.5
02/22/1980,643.5
02/25/1980,625
02/26/1980,636.75
02/27/1980,629
